loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,prediksi
3,170.936,171.932,82815056.48489791,1545000550.3887691,2.3870267007016e+18,-0.5363522911770975,0.0274013885055235,2.3870267007016e+18,0.3537343574643148,1.1786329137108942,0,0,0,0,0,-82815056.48489796,1545000550.3887691,2.3870267007016e+18,0.5363522911770975,0.0274013885055235,2.3870267007016e+18,0.3537343574643148,1.1786329137108942,0,0,0,0,0,kanan
3,171.936,172.932,-99358525.32799023,1846627267.064416,3.4100322634657946e+18,-0.6906603039517956,0.4950330330399093,3.4100322634657946e+18,0.3219755377067604,1.2944174685498222,0,0,0,0,0,99358525.32799023,1846627267.064416,3.4100322634657946e+18,0.6906603039517956,0.4950330330399093,3.4100322634657946e+18,0.3219755377067603,1.2944174685498229,0,0,0,0,0,kanan
3,172.936,173.932,105134352.6224911,1578015282.276509,2.4901322310982103e+18,-0.8068948866868437,-0.1240733735832173,2.4901322310982103e+18,0.2517123906536687,1.5592147393466689,0,0,0,0,0,-105134352.62249112,1578015282.276509,2.4901322310982103e+18,0.806894886686844,-0.1240733735832173,2.4901322310982103e+18,0.2517123906536687,1.5592147393466689,0,0,0,0,0,kanan
3,173.936,174.932,38410837.22498526,1660681084.9411304,2.7578616658812503e+18,-0.6723188198225106,-0.2173316512790721,2.7578616658812503e+18,0.3086825963465695,1.4385621007201317,0,0,0,0,0,-38410837.22498524,1660681084.9411304,2.7578616658812503e+18,0.6723188198225107,-0.2173316512790717,2.7578616658812503e+18,0.3086825963465695,1.4385621007201317,0,0,0,0,0,kanan
3,174.936,240.928,72311098.42012897,1397278468.725891,1.952387119164971e+18,-0.7794256033987267,0.3250143623076176,1.952387119164971e+18,0.2754499638391752,1.5883410461430203,0,0,0,0,0,-72311098.42012894,1397278468.7258914,1.9523871191649715e+18,0.7794256033987265,0.3250143623076154,1.9523871191649715e+18,0.2754499638391752,1.5883410461430203,0,0,0,0,0,kanan
4,240.932,241.928,20152616.164276157,1689040751.5240035,2.852858660308771e+18,-1.2751928676285034,3.2702912378659645,2.852858660308771e+18,0.3342533093318515,1.2610946935955558,0,0,0,0,0,-20152616.16427614,1689040751.5240035,2.852858660308771e+18,1.2751928676285034,3.2702912378659663,2.852858660308771e+18,0.3342533093318515,1.2610946935955558,0,0,0,0,0,belakang
4,241.932,242.928,7675585.951436463,1280621508.328288,1.63999144759302e+18,-0.6159470809111831,0.164170966314852,1.63999144759302e+18,0.3202576942489678,1.3904292051708065,0,0,0,0,0,-7675585.951436463,1280621508.328288,1.63999144759302e+18,0.6159470809111831,0.164170966314852,1.63999144759302e+18,0.3202576942489678,1.390429205170806,0,0,0,0,0,kanan
4,242.932,243.928,-23078330.51359768,1503849330.5433638,2.2615628089757235e+18,-0.5027072467541596,-0.488668337881021,2.2615628089757235e+18,0.3134866550484448,1.3342654760243309,0,0,0,0,0,23078330.5135977,1503849330.5433638,2.2615628089757235e+18,0.5027072467541596,-0.4886683378810215,2.2615628089757235e+18,0.3134866550484448,1.3342654760243309,0,0,0,0,0,kanan
4,243.932,244.928,-15022937.420957794,1381459921.509792,1.9084315147378404e+18,-0.6257431463252934,-0.0087135013276138,1.9084315147378404e+18,0.3192405073327861,1.292375511754046,0,0,0,0,0,15022937.420957794,1381459921.509792,1.9084315147378404e+18,0.6257431463252933,-0.0087135013276138,1.9084315147378404e+18,0.3192405073327861,1.292375511754046,0,0,0,0,0,kanan
4,244.932,245.928,-24661414.09788576,1779394489.4692888,3.1662447491536707e+18,-1.099394514542641,0.8462428046962236,3.1662447491536707e+18,0.3026130757066414,1.271535207228807,0,0,0,0,0,24661414.09788576,1779394489.4692888,3.1662447491536707e+18,1.0993945145426407,0.8462428046962245,3.1662447491536707e+18,0.3026130757066414,1.271535207228807,0,0,0,0,0,kanan
