EXG0,EXG1,subject,loop,time
-27538503.973270535,27538503.973270535,syarif,5,292.864
203903606.3476801,-203903606.3476801,syarif,5,292.868
149856766.0494852,-149856766.04948527,syarif,5,292.872
-166780162.38872924,166780162.38872924,syarif,5,292.876
-693510846.4637188,693510846.4637188,syarif,5,292.88
-1355435419.76647,1355435419.7664702,syarif,5,292.884
-2065105000.273622,2065105000.273622,syarif,5,292.888
-2732459557.353322,2732459557.353322,syarif,5,292.892
-3272821137.368065,3272821137.3680654,syarif,5,292.896
-3614755588.588154,3614755588.5881534,syarif,5,292.9
-3705990052.4928327,3705990052.4928327,syarif,5,292.904
-3526218867.902454,3526218867.9024544,syarif,5,292.908
-3088715543.622746,3088715543.6227455,syarif,5,292.912
-2432992355.704577,2432992355.704577,syarif,5,292.916
-1630393061.7831664,1630393061.7831664,syarif,5,292.92
-771182100.3162104,771182100.3162104,syarif,5,292.924
50420057.26339555,-50420057.26339579,syarif,5,292.928
749287403.9204607,-749287403.9204609,syarif,5,292.932
1268260533.8610277,-1268260533.8610277,syarif,5,292.936
1577859915.209311,-1577859915.2093108,syarif,5,292.94
1682638108.4617043,-1682638108.4617047,syarif,5,292.944
1610434076.853602,-1610434076.8536022,syarif,5,292.948
1406434190.5793867,-1406434190.5793867,syarif,5,292.952
1118911679.1463552,-1118911679.1463547,syarif,5,292.956
792637750.6555777,-792637750.6555774,syarif,5,292.96
455902952.6965027,-455902952.6965027,syarif,5,292.964
135012306.17918813,-135012306.17918825,syarif,5,292.968
-150858452.55340973,150858452.55340973,syarif,5,292.972
-380040178.52036864,380040178.52036864,syarif,5,292.976
-524120689.2491007,524120689.2491007,syarif,5,292.98
-551807054.9037411,551807054.903741,syarif,5,292.984
-433433827.3325784,433433827.3325784,syarif,5,292.988
-151995811.48015785,151995811.48015773,syarif,5,292.992
286171622.44605386,-286171622.44605386,syarif,5,292.996
845065026.570008,-845065026.570008,syarif,5,293.0
1461147512.259043,-1461147512.259043,syarif,5,293.004
2048180188.29173,-2048180188.29173,syarif,5,293.008
2526222899.3869658,-2526222899.3869658,syarif,5,293.012
2828876979.2529078,-2828876979.2529078,syarif,5,293.016
2933254791.5167108,-2933254791.5167108,syarif,5,293.02
2857038782.0605564,-2857038782.0605564,syarif,5,293.024
2659123180.4270005,-2659123180.4270005,syarif,5,293.028
2422141917.1331215,-2422141917.1331215,syarif,5,293.032
2230482485.8110065,-2230482485.8110065,syarif,5,293.036
2142887744.6453648,-2142887744.6453648,syarif,5,293.04
2176157991.8846564,-2176157991.8846564,syarif,5,293.044
2291535658.584447,-2291535658.584447,syarif,5,293.048
2412676983.861127,-2412676983.861127,syarif,5,293.052
2441413984.287398,-2441413984.2873974,syarif,5,293.056
2286178827.698237,-2286178827.6982365,syarif,5,293.06
1903744255.52088,-1903744255.5208797,syarif,5,293.064
1308171652.9991121,-1308171652.9991121,syarif,5,293.068
576335559.5316533,-576335559.5316534,syarif,5,293.072
-169407278.92188954,169407278.92188954,syarif,5,293.076
-784202291.5719371,784202291.5719373,syarif,5,293.08
-1139836641.8312607,1139836641.8312607,syarif,5,293.084
-1165036099.516617,1165036099.5166168,syarif,5,293.088
-858735192.070195,858735192.070195,syarif,5,293.092
-304743540.3892489,304743540.3892489,syarif,5,293.096
355968196.41708374,-355968196.41708374,syarif,5,293.1
946329548.9336162,-946329548.9336162,syarif,5,293.104
1300359305.3004231,-1300359305.3004231,syarif,5,293.108
1309049170.1707478,-1309049170.1707473,syarif,5,293.112
936603224.0258679,-936603224.0258679,syarif,5,293.116
232460880.12220144,-232460880.12220144,syarif,5,293.12
-682865703.4380102,682865703.4380102,syarif,5,293.124
-1637138141.587748,1637138141.587748,syarif,5,293.128
-2451840001.2341957,2451840001.2341957,syarif,5,293.132
-2982143286.79374,2982143286.7937403,syarif,5,293.136
-3138460430.641358,3138460430.641358,syarif,5,293.14
-2902474632.2089777,2902474632.2089777,syarif,5,293.144
-2324478102.019065,2324478102.019065,syarif,5,293.148
-1508268403.8164062,1508268403.8164062,syarif,5,293.152
-578946236.0618513,578946236.0618513,syarif,5,293.156
328526540.7801907,-328526540.7801906,syarif,5,293.16
1110315104.2956681,-1110315104.295668,syarif,5,293.164
1697524244.3175657,-1697524244.317566,syarif,5,293.168
2052880977.6790366,-2052880977.6790366,syarif,5,293.172
2196459208.15869,-2196459208.15869,syarif,5,293.176
2162924291.3025007,-2162924291.3025007,syarif,5,293.18
2013564002.5070832,-2013564002.5070832,syarif,5,293.184
1819207636.7643719,-1819207636.7643719,syarif,5,293.188
1641505678.2405782,-1641505678.2405782,syarif,5,293.192
1530153660.0717711,-1530153660.0717711,syarif,5,293.196
1516263441.5243478,-1516263441.5243478,syarif,5,293.2
1601934267.4976802,-1601934267.4976802,syarif,5,293.204
1771286485.5733175,-1771286485.5733175,syarif,5,293.208
1980719500.9418952,-1980719500.9418952,syarif,5,293.212
2173124454.6983213,-2173124454.6983213,syarif,5,293.216
2281378379.1600456,-2281378379.1600456,syarif,5,293.22
2249104886.9978356,-2249104886.9978356,syarif,5,293.224
2034135774.7222116,-2034135774.7222116,syarif,5,293.228
1638880913.6214826,-1638880913.6214824,syarif,5,293.232
1098834532.9234393,-1098834532.9234395,syarif,5,293.236
483149549.2543998,-483149549.2543999,syarif,5,293.24
-111748345.86876744,111748345.8687675,syarif,5,293.244
-593128508.5759002,593128508.5759002,syarif,5,293.248
-878603372.32449,878603372.32449,syarif,5,293.252
-929773610.8088287,929773610.8088287,syarif,5,293.256
-756197430.4501237,756197430.4501238,syarif,5,293.26
-408214539.99813795,408214539.99813807,syarif,5,293.264
28087751.87153399,-28087751.87153399,syarif,5,293.268
458548239.6235687,-458548239.6235688,syarif,5,293.272
800860392.70819,-800860392.70819,syarif,5,293.276
1008496081.8890418,-1008496081.8890418,syarif,5,293.28
1079271105.5777678,-1079271105.5777678,syarif,5,293.284
1050242706.5797155,-1050242706.5797154,syarif,5,293.288
981364996.7808721,-981364996.7808721,syarif,5,293.292
933437038.4649324,-933437038.4649329,syarif,5,293.296
945204551.055831,-945204551.0558305,syarif,5,293.3
1015008862.770792,-1015008862.770792,syarif,5,293.304
1103041332.881421,-1103041332.8814209,syarif,5,293.308
1142121093.0385222,-1142121093.0385222,syarif,5,293.312
1058106547.798666,-1058106547.7986658,syarif,5,293.316
798448340.7214189,-798448340.7214186,syarif,5,293.32
359087664.21074,-359087664.21074,syarif,5,293.324
-210770606.89306927,210770606.89306927,syarif,5,293.328
-815938976.1313009,815938976.131301,syarif,5,293.332
-1327146364.514661,1327146364.514661,syarif,5,293.336
-1625293894.4475455,1625293894.4475455,syarif,5,293.34
-1625880793.6536102,1625880793.6536102,syarif,5,293.344
-1311196414.7818758,1311196414.7818758,syarif,5,293.348
-734902949.5794446,734902949.5794448,syarif,5,293.352
-11520055.83147192,11520055.83147192,syarif,5,293.356
711758931.6912845,-711758931.6912845,syarif,5,293.36
1283228864.2659879,-1283228864.2659879,syarif,5,293.364
1595176152.7873533,-1595176152.7873533,syarif,5,293.368
1599664257.9314187,-1599664257.9314187,syarif,5,293.372
1317706132.3788965,-1317706132.3788965,syarif,5,293.376
840321581.1804519,-840321581.1804518,syarif,5,293.38
285057817.014349,-285057817.014349,syarif,5,293.384
-232558408.1573645,232558408.1573645,syarif,5,293.388
-629040507.5210445,629040507.5210444,syarif,5,293.392
-876981092.9729284,876981092.9729283,syarif,5,293.396
-1005493824.5442389,1005493824.5442389,syarif,5,293.4
-1089519397.5160687,1089519397.516069,syarif,5,293.404
-1218142594.4527087,1218142594.4527085,syarif,5,293.408
-1465456073.6666265,1465456073.6666262,syarif,5,293.412
-1854990376.463251,1854990376.4632514,syarif,5,293.416
-2362950359.736996,2362950359.7369967,syarif,5,293.42
-2903974800.3602276,2903974800.3602276,syarif,5,293.424
-3363375037.2690973,3363375037.2690973,syarif,5,293.428
-3625755502.149032,3625755502.149032,syarif,5,293.432
-3608208119.8132267,3608208119.8132267,syarif,5,293.436
-3284585276.1729774,3284585276.172978,syarif,5,293.44
-2695387510.327237,2695387510.3272376,syarif,5,293.444
-1939766744.161715,1939766744.1617148,syarif,5,293.448
-1151837731.6694725,1151837731.6694725,syarif,5,293.452
-473658487.798733,473658487.7987331,syarif,5,293.456
-12520562.039002836,12520562.039002836,syarif,5,293.46
173156560.31724834,-173156560.31724834,syarif,5,293.464
82200205.73870653,-82200205.7387065,syarif,5,293.468
-224341823.14715728,224341823.14715728,syarif,5,293.472
-653288112.8299613,653288112.8299613,syarif,5,293.476
-1098749147.4574063,1098749147.4574065,syarif,5,293.48
-1476813821.53124,1476813821.5312402,syarif,5,293.484
-1728315445.7539,1728315445.7539,syarif,5,293.488
-1836821626.106576,1836821626.1065764,syarif,5,293.492
-1822390881.4409323,1822390881.4409318,syarif,5,293.496
-1724013332.1077776,1724013332.1077778,syarif,5,293.5
-1582553313.5199232,1582553313.5199234,syarif,5,293.504
-1432199059.041215,1432199059.0412152,syarif,5,293.508
-1283090413.6972594,1283090413.69726,syarif,5,293.512
-1127530370.726486,1127530370.7264862,syarif,5,293.516
-944002154.0778662,944002154.0778662,syarif,5,293.52
-707006750.7071337,707006750.7071337,syarif,5,293.524
-403483621.50023484,403483621.5002346,syarif,5,293.528
-35782114.74024296,35782114.74024272,syarif,5,293.532
370824656.3011613,-370824656.3011608,syarif,5,293.536
778101990.0080376,-778101990.0080371,syarif,5,293.54
1138453656.6362863,-1138453656.6362865,syarif,5,293.544
1408121254.5350614,-1408121254.535061,syarif,5,293.548
1557407543.554841,-1557407543.5548408,syarif,5,293.552
1570764539.9977672,-1570764539.997767,syarif,5,293.556
1449346216.2465606,-1449346216.2465606,syarif,5,293.56
1211234383.233902,-1211234383.233902,syarif,5,293.564
881180962.0699377,-881180962.0699377,syarif,5,293.568
489854479.73475754,-489854479.73475754,syarif,5,293.572
73270917.89102207,-73270917.89102207,syarif,5,293.576
-328928685.0641064,328928685.0641064,syarif,5,293.58
-670996052.2954793,670996052.2954793,syarif,5,293.584
-904473009.6232426,904473009.6232425,syarif,5,293.588
-983345130.6492001,983345130.6492002,syarif,5,293.592
-872201105.9083835,872201105.9083835,syarif,5,293.596
-546432530.6594502,546432530.6594503,syarif,5,293.6
-23704827.815912366,23704827.815912396,syarif,5,293.604
643341213.7160301,-643341213.7160301,syarif,5,293.608
1361357085.6133804,-1361357085.6133804,syarif,5,293.612
2011177685.4880943,-2011177685.4880943,syarif,5,293.616
2468358415.5817657,-2468358415.581766,syarif,5,293.62
2630219073.939362,-2630219073.939362,syarif,5,293.624
2440907513.9333973,-2440907513.9333973,syarif,5,293.628
1909662657.4083798,-1909662657.40838,syarif,5,293.632
1115404495.8814108,-1115404495.881411,syarif,5,293.636
195694790.58989096,-195694790.58989108,syarif,5,293.64
-679497567.4496741,679497567.4496741,syarif,5,293.644
-1345245884.5903387,1345245884.5903387,syarif,5,293.648
-1676814901.506395,1676814901.506395,syarif,5,293.652
-1615409925.1142282,1615409925.1142282,syarif,5,293.656
-1185688184.1598551,1185688184.1598551,syarif,5,293.66
-491565850.8334874,491565850.8334874,syarif,5,293.664
306038607.94967705,-306038607.94967705,syarif,5,293.668
1031853797.9922109,-1031853797.9922109,syarif,5,293.672
1532035897.1741717,-1532035897.1741717,syarif,5,293.676
1704880087.371759,-1704880087.371759,syarif,5,293.68
1531938602.9476228,-1531938602.9476228,syarif,5,293.684
1068893091.5348675,-1068893091.5348675,syarif,5,293.688
429661031.0607982,-429661031.0607983,syarif,5,293.692
-243158452.66744816,243158452.66744816,syarif,5,293.696
-815724978.1867818,815724978.1867818,syarif,5,293.7
-1192670555.7608101,1192670555.7608101,syarif,5,293.704
-1333605211.228993,1333605211.228993,syarif,5,293.708
-1259682001.335259,1259682001.335259,syarif,5,293.712
-1036721415.2934902,1036721415.2934902,syarif,5,293.716
-751094828.774227,751094828.774227,syarif,5,293.72
-490786229.4492612,490786229.4492612,syarif,5,293.724
-306932207.33838,306932207.33838,syarif,5,293.728
-217601576.2253003,217601576.2253003,syarif,5,293.732
-207096445.83608222,207096445.8360821,syarif,5,293.736
-230196237.3064773,230196237.3064773,syarif,5,293.74
-239926552.91559076,239926552.91559076,syarif,5,293.744
-207434954.8720377,207434954.87203768,syarif,5,293.748
-124197494.27527964,124197494.27527964,syarif,5,293.752
-9014702.51473999,9014702.51473999,syarif,5,293.756
94493634.44550848,-94493634.44550848,syarif,5,293.76
147047375.5391829,-147047375.53918314,syarif,5,293.764
117203856.8576734,-117203856.85767365,syarif,5,293.768
-5298938.67676115,5298938.67676115,syarif,5,293.772
-193668862.58067423,193668862.58067423,syarif,5,293.776
-401163605.7751713,401163605.7751714,syarif,5,293.78
-569825954.0030439,569825954.0030439,syarif,5,293.784
-651588914.1406627,651588914.1406624,syarif,5,293.788
-613306833.8123887,613306833.8123887,syarif,5,293.792
-453008551.5422112,453008551.5422112,syarif,5,293.796
-197986769.06465334,197986769.06465334,syarif,5,293.8
104424058.65121198,-104424058.65121198,syarif,5,293.804
402553655.9709053,-402553655.97090507,syarif,5,293.808
657975486.3047733,-657975486.3047736,syarif,5,293.812
844769024.5331225,-844769024.5331223,syarif,5,293.816
971245940.2626686,-971245940.2626691,syarif,5,293.82
1059109809.0822601,-1059109809.0822599,syarif,5,293.824
1132627119.884058,-1132627119.8840582,syarif,5,293.828
1209868289.6184258,-1209868289.6184258,syarif,5,293.832
1289225208.033533,-1289225208.033533,syarif,5,293.836
1353579269.7294626,-1353579269.7294626,syarif,5,293.84
1368115137.8599656,-1368115137.8599653,syarif,5,293.844
1295099620.2084525,-1295099620.2084525,syarif,5,293.848
1122130164.0824165,-1122130164.0824163,syarif,5,293.852
862521940.2161672,-862521940.2161672,syarif,5,293.856
565117269.709703,-565117269.709703,syarif,5,293.86
305931270.0461328,-305931270.0461328,syarif,5,293.864
169020698.01932335,-169020698.01932335,syarif,5,293.868
221671086.92562938,-221671086.92562914,syarif,5,293.872
486970364.82154477,-486970364.8215448,syarif,5,293.876
928807405.8033699,-928807405.8033698,syarif,5,293.88
1447793631.4569001,-1447793631.4569001,syarif,5,293.884
1898893796.3179922,-1898893796.3179922,syarif,5,293.888
2124403681.527914,-2124403681.5279138,syarif,5,293.892
1991895957.4709198,-1991895957.4709196,syarif,5,293.896
1433691163.4725006,-1433691163.4725008,syarif,5,293.9
476058456.8658762,-476058456.8658761,syarif,5,293.904
-761186505.743448,761186505.743448,syarif,5,293.908
-2069803475.391179,2069803475.391179,syarif,5,293.912
-3200887492.9623203,3200887492.9623203,syarif,5,293.916
-3921315083.1054273,3921315083.1054273,syarif,5,293.92
-4069909492.666006,4069909492.666005,syarif,5,293.924
-3586863681.622746,3586863681.6227465,syarif,5,293.928
-2546284577.720725,2546284577.720725,syarif,5,293.932
-1141054759.892808,1141054759.892808,syarif,5,293.936
348899865.82460684,-348899865.8246069,syarif,5,293.94
1618924370.0442195,-1618924370.0442197,syarif,5,293.944
2406114137.620632,-2406114137.620632,syarif,5,293.948
2547543191.372347,-2547543191.3723474,syarif,5,293.952
2011126577.089633,-2011126577.0896325,syarif,5,293.956
914840884.111937,-914840884.111937,syarif,5,293.96
-507856546.76270807,507856546.76270807,syarif,5,293.964
